"surplus_country_iso3","surplus_country_name","deficit_country_iso3","deficit_country_name","trade_value","year","total_trade_year"
"SGP","Singapore","HKG","Hong Kong",13659.9313,2021,348477.224363999
"SGP","Singapore","HKG","Hong Kong",16001.957234,2022,383431.321529001
"SGP","Singapore","HKG","Hong Kong",16001.957234,2022,383431.321529001
"SGP","Singapore","HKG","Hong Kong",12692.719044,2023,363459.883593
"SGP","Singapore","HKG","Hong Kong",12692.719044,2023,363459.883593
"VNM","Viet Nam","HKG","Hong Kong",2980.057928,2017,224809.547288
"VNM","Viet Nam","HKG","Hong Kong",2980.057928,2017,224809.547288
"VNM","Viet Nam","HKG","Hong Kong",2290.366016,2018,239270.915695
"VNM","Viet Nam","HKG","Hong Kong",2290.366016,2018,239270.915695
"VNM","Viet Nam","HKG","Hong Kong",2851.185184,2019,250856.902919
"VNM","Viet Nam","HKG","Hong Kong",2851.185184,2019,250856.902919
"VNM","Viet Nam","HKG","Hong Kong",3889.399462,2020,283355.494495001
"VNM","Viet Nam","HKG","Hong Kong",3889.399462,2020,283355.494495001
"VNM","Viet Nam","HKG","Hong Kong",4165.001331,2021,348477.224363999
"VNM","Viet Nam","HKG","Hong Kong",4165.001331,2021,348477.224363999
"VNM","Viet Nam","HKG","Hong Kong",3116.148988,2022,383431.321529001
"VNM","Viet Nam","HKG","Hong Kong",3116.148988,2022,383431.321529001
"VNM","Viet Nam","HKG","Hong Kong",3406.969727,2023,363459.883593
"VNM","Viet Nam","HKG","Hong Kong",3406.969727,2023,363459.883593
"ISR","Israel","IRL","Ireland",2098.384974,2021,348477.224363999
"ISR","Israel","IRL","Ireland",2098.384974,2021,348477.224363999
"ISR","Israel","IRL","Ireland",3702.861598,2022,383431.321529001
"ISR","Israel","IRL","Ireland",3702.861598,2022,383431.321529001
"ISR","Israel","IRL","Ireland",3250.425301,2023,363459.883593
"ISR","Israel","IRL","Ireland",3250.425301,2023,363459.883593
"IRL","Ireland","MYS","Malaysia",2122.13322,2023,363459.883593
"IRL","Ireland","MYS","Malaysia",2122.13322,2023,363459.883593
"IRL","Ireland","USA","USA",2192.081716,2017,224809.547288
"IRL","Ireland","USA","USA",2192.081716,2017,224809.547288
"IRL","Ireland","VNM","Viet Nam",1586.253727,2019,250856.902919
"IRL","Ireland","VNM","Viet Nam",1586.253727,2019,250856.902919
"IRL","Ireland","VNM","Viet Nam",2705.354369,2020,283355.494495001
"IRL","Ireland","VNM","Viet Nam",2705.354369,2020,283355.494495001
"IRL","Ireland","VNM","Viet Nam",2956.55606,2021,348477.224363999
"IRL","Ireland","VNM","Viet Nam",2956.55606,2021,348477.224363999
"IRL","Ireland","VNM","Viet Nam",2155.492153,2022,383431.321529001
"IRL","Ireland","VNM","Viet Nam",2155.492153,2022,383431.321529001
"JPN","Japan","KOR","Rep. of Korea",1541.267757,2017,224809.547288
"JPN","Japan","KOR","Rep. of Korea",1541.267757,2017,224809.547288
"JPN","Japan","KOR","Rep. of Korea",1315.311152,2018,239270.915695
"JPN","Japan","KOR","Rep. of Korea",1315.311152,2018,239270.915695
"JPN","Japan","KOR","Rep. of Korea",1333.888929,2019,250856.902919
"JPN","Japan","KOR","Rep. of Korea",1333.888929,2019,250856.902919
"JPN","Japan","KOR","Rep. of Korea",1587.748694,2020,283355.494495001
"JPN","Japan","KOR","Rep. of Korea",1587.748694,2020,283355.494495001
"JPN","Japan","KOR","Rep. of Korea",1886.295237,2021,348477.224363999
"JPN","Japan","KOR","Rep. of Korea",1886.295237,2021,348477.224363999
"JPN","Japan","KOR","Rep. of Korea",3475.876422,2022,383431.321529001
